,name,year,rating,runtime
793,Puss in Boots,-2011,6.6,90 min
794,Jason and the Argonauts,-1963,7.3,104 min
795,47 Meters Down,-2017,5.6,89 min
796,King Kong,-1976,5.9,134 min
797,Inkheart,-2008,6.1,106 min
798,On the Road,-2012,6,124 min
799,Mad Max Beyond Thunderdome,-1985,6.2,107 min
800,The Guardian,(I) (2006),6.9,139 min
801,Timeline,-2003,5.6,116 min
802,Oliver & Company,-1988,6.7,74 min
803,The Aeronauts,-2019,6.6,100 min
804,Nausica? of the Valley of the Wind,-1984,8,117 min
805,The Bucket List,-2007,7.4,97 min
806,The Rundown,-2003,6.6,104 min
807,Star Trek VI: The Undiscovered Country,-1991,7.3,110 min
808,Ice Age: Dawn of the Dinosaurs,-2009,6.9,94 min
809,The Emoji Movie,-2017,3.3,86 min
810,Pompeii,(I) (2014),5.5,105 min
811,Hotel Transylvania 2,-2015,6.7,89 min
812,Red Sonja,-1985,5.1,89 min
813,Brother Bear,-2003,6.8,85 min
814,"10,000 BC",-2008,5.1,109 min
815,You Only Live Twice,-1967,6.8,117 min
816,Deep Rising,-1998,6.1,106 min
817,2010: The Year We Make Contact,-1984,6.8,116 min
818,Paper Towns,-2015,6.3,109 min
819,Da 5 Bloods,-2020,6.5,154 min
820,Moonraker,-1979,6.3,126 min
821,The Spiderwick Chronicles,-2008,6.5,96 min
822,Bedknobs and Broomsticks,-1971,7.1,117 min
823,Bedtime Stories,-2008,6,99 min
824,King Kong,-1933,7.9,100 min
825,The Pink Panther,-2006,5.6,93 min
826,The Simpsons Movie,-2007,7.3,87 min
827,Around the World in 80 Days,-2004,5.8,120 min
828,Your Highness,-2011,5.5,102 min
829,The Mountain Between Us,-2017,6.4,112 min
830,Fantastic Four: Rise of the Silver Surfer,-2007,5.6,92 min
831,Osmosis Jones,-2001,6.3,95 min
832,Star Trek: Generations,-1994,6.6,118 min
833,National Lampoon's European Vacation,-1985,6.2,95 min
834,Mirror Mirror,(I) (2012),5.6,106 min
835,Castle in the Sky,-1986,8,125 min
836,The Core,-2003,5.5,135 min
837,Monsters,-2010,6.4,94 min
838,Angry Birds,-2016,6.3,97 min
839,Wrath of the Titans,-2012,5.7,99 min
840,Eight Legged Freaks,-2002,5.5,99 min
841,Christopher Robin,-2018,7.2,104 min
842,Girls Trip,-2017,6.2,122 min
843,The Angry Birds Movie 2,-2019,6.4,97 min
844,Baby's Day Out,-1994,6.2,99 min
845,FernGully: The Last Rainforest,-1992,6.5,76 min
846,The African Queen,-1951,7.7,105 min
847,Spirit: Stallion of the Cimarron,-2002,7.2,83 min
848,Penguins of Madagascar,-2014,6.7,92 min
849,Forbidden Planet,-1956,7.5,98 min
850,Escape from L.A.,-1996,5.7,101 min
851,Ben-Hur,-2016,5.7,123 min
852,Johnny English,-2003,6.2,87 min
853,Stagecoach,-1939,7.8,96 min
854,James and the Giant Peach,-1996,6.7,79 min
855,Octopussy,-1983,6.5,131 min
856,The Rescuers Down Under,-1990,6.8,77 min
857,Legend of the Guardians: The Owls of Ga'Hoole,-2010,6.9,97 min
858,Spectral,-2016,6.3,107 min
859,Rio 2,-2014,6.3,101 min
860,Epic,-2013,6.6,102 min
861,City of Ember,-2008,6.4,90 min
862,The Saint,-1997,6.2,116 min
863,Without a Paddle,-2004,5.8,95 min
864,Big Fat Liar,-2002,5.5,88 min
865,Iron Sky,-2012,5.9,93 min
866,The Cave,-2005,5.1,97 min
867,Congo,-1995,5.2,109 min
868,Meet Dave,-2008,5,90 min
869,Race to Witch Mountain,-2009,5.7,98 min
870,The Smurfs,-2011,5.4,103 min
871,First Knight,-1995,6,134 min
872,The Rescuers,-1977,6.9,78 min
873,The Man with the Golden Gun,-1974,6.7,125 min
874,The Lizzie McGuire Movie,-2003,5.5,94 min
875,Ice Age: The Meltdown,-2006,6.8,91 min
876,Surf's Up,-2007,6.7,85 min
877,Innerspace,-1987,6.8,120 min
878,RV,-2006,5.6,99 min
879,DOA: Dead or Alive,-2006,4.8,87 min
880,The Adventures of Baron Munchausen,-1988,7.1,126 min
881,Charlotte's Web,-2006,6.3,97 min
882,Firefox,-1982,5.9,136 min
883,Under Siege 2: Dark Territory,-1995,5.5,100 min
884,The Bounty,-1984,7,132 min
885,Lady and the Tramp,-1955,7.3,76 min
886,The Black Cauldron,-1985,6.4,80 min
887,Superman IV: The Quest for Peace,-1987,3.7,90 min
888,Garfield,-2004,5,80 min
889,The Darkest Minds,-2018,5.7,104 min
890,Max Payne,-2008,5.3,100 min
891,The Muppets,-2011,7.1,103 min
892,Star Wars: The Clone Wars,-2008,5.9,98 min
893,?on Flux,-2005,5.4,93 min
894,Gulliver's Travels,-2010,4.9,85 min
895,Spy Kids 3: Game Over,-2003,4.3,84 min
896,Star Trek: Insurrection,-1998,6.4,103 min
897,The Secret of NIMH,-1982,7.6,82 min
898,The Walk,(II) (2015),7.3,123 min
899,The Polar Express,-2004,6.6,100 min
900,Hannibal Rising,-2007,6.1,121 min
901,Star Trek IV: The Voyage Home,-1986,7.3,119 min
902,Brotherhood of the Wolf,-2001,7,142 min
903,Speed 2: Cruise Control,-1997,3.9,121 min
904,Far and Away,-1992,6.6,140 min
905,Antz,-1998,6.6,83 min
906,Broken Arrow,-1996,6.1,108 min
907,Runaway Train,-1985,7.2,111 min
908,Chicken Little,-2005,5.7,81 min
909,Hudson Hawk,-1991,5.7,100 min
910,Casanova,-2005,6.5,112 min
911,Rescue Dawn,-2006,7.3,120 min
912,The Girl with All the Gifts,-2016,6.6,111 min
913,Enemy Mine,-1985,6.8,108 min
914,Dead Man,-1995,7.5,121 min
915,The Dark Crystal,-1982,7.1,93 min
916,Attack the Block,-2011,6.7,88 min
917,Cloudy with a Chance of Meatballs 2,-2013,6.4,95 min
918,The Lord of the Rings,-1978,6.2,132 min
919,The Pirates! Band of Misfits,-2012,6.7,88 min
920,Asterix & Obelix: Mission Cleopatra,-2002,6.6,107 min
921,Battlefield Earth,-2000,2.5,118 min
922,The Secret Life of Pets 2,-2019,6.5,86 min
923,A Monster Calls,-2016,7.5,108 min
924,Little Big Man,-1970,7.6,139 min
925,Valhalla Rising,-2009,6,93 min
926,Mechanic: Resurrection,-2016,5.7,98 min
927,The Phantom,-1996,5,100 min
928,Abominable,-2019,7,97 min
929,Crocodile Dundee II,-1988,5.7,108 min
930,All Dogs Go to Heaven,-1989,6.7,84 min
931,Stealth,-2005,5,121 min
932,This Must Be the Place,-2011,6.7,118 min
933,The Cat Returns,-2002,7.2,75 min
934,In the Name of the King: A Dungeon Siege Tale,-2007,3.8,127 min
935,TMNT,-2007,6.2,103 min
936,"20,000 Leagues Under the Sea",-1954,7.2,127 min
937,The Kings of Summer,-2013,7.1,95 min
938,Jeremiah Johnson,-1972,7.6,108 min
939,Extremely Loud & Incredibly Close,-2011,6.9,129 min
940,Hoodwinked!,-2005,6.5,80 min
941,Ace Ventura: When Nature Calls,-1995,6.4,90 min
942,Shanghai Noon,-2000,6.6,110 min
943,Land of the Lost,-2009,5.3,102 min
944,Watership Down,-1978,7.6,91 min
945,Looney Tunes: Back in Action,-2003,5.8,91 min
946,Turbo,-2013,6.4,96 min
947,The Golden Child,-1986,5.9,94 min
948,Tenacious D in the Pick of Destiny,-2006,6.8,94 min
949,To Have and Have Not,-1944,7.8,100 min
950,Kubo and the Two Strings,-2016,7.8,101 min
951,Major Payne,-1995,6.2,95 min
952,Alvin and the Chipmunks: Chipwrecked,-2011,4.3,87 min
953,DragonHeart,-1996,6.4,103 min
954,An American Tail,-1986,6.9,80 min
955,The Nutcracker and the Four Realms,-2018,5.5,99 min
956,"Honey, I Blew Up the Kid",-1992,4.8,89 min
957,The Sword in the Stone,-1963,7.2,79 min
958,The Mexican,-2001,6.1,123 min
959,Fly Away Home,-1996,6.9,107 min
960,The Ghost and the Darkness,-1996,6.8,110 min
961,Space Cowboys,-2000,6.5,130 min
962,Europa Report,-2013,6.4,90 min
963,Planes,-2013,5.7,91 min
964,Spy Kids 2: Island of Lost Dreams,-2002,5.2,100 min
965,Lara Croft Tomb Raider: The Cradle of Life,-2003,5.5,117 min
966,Flags of Our Fathers,-2006,7.1,135 min
967,Bubble Boy,-2001,5.7,84 min
968,Titan A.E.,-2000,6.6,94 min
969,The Big Blue,-1988,7.5,168 min
970,Daylight,-1996,5.9,114 min
971,Nebraska,-2013,7.7,115 min
972,How I Live Now,-2013,6.4,101 min
973,Cell,(I) (2016),4.4,98 min
974,Jaws 2,-1978,5.8,116 min
975,Wallace & Gromit: The Curse of the Were-Rabbit,-2005,7.5,85 min
976,The Avengers,-1998,3.8,89 min
977,Star Trek III: The Search for Spock,-1984,6.6,105 min
978,Slow West,-2015,6.9,84 min
979,The Darkest Hour,-2011,4.9,89 min
980,Porco Rosso,-1992,7.7,94 min
981,The Lego Ninjago Movie,-2017,6,101 min
982,The Jewel of the Nile,-1985,6.1,106 min
983,The Way of the Dragon,-1972,7.2,90 min
984,Bambi,-1942,7.3,70 min
985,The Forbidden Kingdom,-2008,6.6,104 min
986,The Mosquito Coast,-1986,6.6,117 min
987,Act of Valor,-2012,6.5,110 min
988,The Legend of Hercules,-2014,4.2,99 min
989,The Great Mouse Detective,-1986,7.2,74 min
990,Johnny English Strikes Again,-2018,6.2,89 min
991,Carriers,-2009,6,84 min
992,Eight Below,-2006,7.3,120 min
993,Bean,-1997,6.5,89 min
994,The Grinch,-2018,6.3,85 min
995,Hidalgo,-2004,6.7,136 min
996,Ravenous,-1999,6.9,101 min
997,Johnny English Reborn,-2011,6.3,101 min
998,The SpongeBob Movie: Sponge Out of Water,-2015,6,92 min
999,Gone,(I) (2012),5.9,94 min
1000,Dragon Ball Super: Broly,-2018,7.8,100 min
1001,Balto,-1995,7.1,78 min
1002,Pete's Dragon,-2016,6.7,102 min
1003,Inspector Gadget,-1999,4.1,78 min
1004,Barnyard,-2006,5.6,90 min
1005,Solomon Kane,-2009,6.1,104 min
1006,Sinbad: Legend of the Seven Seas,-2003,6.7,86 min
1007,Sky Captain and the World of Tomorrow,-2004,6.1,106 min
1008,Song of the Sea,-2014,8.1,93 min
1009,The Descent: Part 2,-2009,5.7,94 min
1010,Dumbo,-1941,7.3,64 min
1011,IO,-2019,4.7,96 min
1012,Rurouni Kenshin Part I: Origins,-2012,7.4,134 min
1013,Captain Underpants: The First Epic Movie,-2017,6.2,89 min
1014,Rob Roy,-1995,6.9,139 min
1015,Mr. Peabody & Sherman,-2014,6.8,92 min
1016,Who Am I?,-1998,6.8,108 min
1017,Dersu Uzala,-1975,8.3,142 min
1018,Mortdecai,-2015,5.5,107 min
1019,Teenage Mutant Ninja Turtles III,-1993,4.8,96 min
1020,Mortal Kombat: Annihilation,-1997,3.6,95 min
1021,Into the Storm,-2014,5.8,89 min
1022,Bacurau,-2019,7.3,131 min
1023,Reindeer Games,-2000,5.8,104 min
1024,Muppets Most Wanted,-2014,6.4,107 min
1025,The River Wild,-1994,6.4,111 min
1026,Fanboys,-2009,6.5,90 min
1027,Jingle All the Way,-1996,5.7,89 min
1028,Kon-Tiki,-2012,7.2,118 min
1029,Hit and Run,(I) (2012),6.1,100 min
1030,Flight of the Phoenix,-2004,6.1,113 min
1031,Agent Cody Banks,-2003,5.1,102 min
1032,Cutthroat Island,-1995,5.7,124 min
1033,Fitzcarraldo,-1982,8,158 min
1034,Storks,-2016,6.8,87 min
1035,The Last Unicorn,-1982,7.4,92 min
1036,Hop,-2011,5.4,95 min
1037,Bill & Ted's Bogus Journey,-1991,6.3,93 min
1038,Herbie Fully Loaded,-2005,4.9,101 min
1039,The Muppet Movie,-1979,7.6,95 min
1040,The Transformers: The Movie,-1986,7.2,84 min
1041,The Four Feathers,-2002,6.5,132 min
1042,Star Trek V: The Final Frontier,-1989,5.5,107 min
1043,ParaNorman,-2012,7,92 min
1044,Open Season,-2006,6.1,86 min
1045,The Many Adventures of Winnie the Pooh,-1977,7.5,74 min
1046,The Last Legion,-2007,5.4,101 min
1047,Jaws 3-D,-1983,3.7,99 min
1048,Tales from Earthsea,-2006,6.4,115 min
1049,Dungeons & Dragons,-2000,3.6,107 min
1050,Season of the Witch,-2011,5.4,95 min
1051,"Aguirre, the Wrath of God",-1972,7.9,95 min
1052,House of Flying Daggers,-2004,7.5,119 min
1053,The Eagle,-2011,6.2,114 min
1054,The Man Who Would Be King,-1975,7.8,129 min
1055,Beasts of the Southern Wild,-2012,7.2,93 min
1056,Mighty Joe Young,-1998,5.7,114 min
1057,Mission to Mars,-2000,5.6,114 min
1058,Hector and the Search for Happiness,-2014,6.9,114 min
1059,Jaws: The Revenge,-1987,3,89 min
1060,The Motorcycle Diaries,-2004,7.8,126 min
1061,A Walk in the Woods,-2015,6.3,104 min
1062,Pathfinder,-2007,5.4,99 min
1063,Harold & Kumar Escape from Guantanamo Bay,-2008,6.6,114 min
1064,Jimmy Neutron: Boy Genius,-2001,6,82 min
1065,All Is Lost,-2013,6.9,106 min
1066,Anacondas: The Hunt for the Blood Orchid,-2004,4.7,97 min
1067,The Wandering Earth,-2019,5.9,125 min
1068,The Hunter,(IV) (2011),6.7,100 min
1069,The Peanuts Movie,-2015,7,88 min
1070,1492: Conquest of Paradise,-1992,6.4,154 min
1071,The NeverEnding Story II: The Next Chapter,-1990,5,89 min
1072,Arthur and the Invisibles,-2006,6,94 min
1073,Red Cliff,-2008,7.3,148 min
1074,Beneath the Planet of the Apes,-1970,6,95 min
1075,Cats & Dogs,-2001,5.1,87 min
1076,Nim's Island,-2008,6,96 min
1077,The Little Prince,-2015,7.7,108 min
1078,Planet 51,-2009,6,91 min
1079,The Wages of Fear,-1953,8.2,131 min
1080,Max,(I) (2015),6.7,111 min
1081,Are We There Yet?,-2005,4.7,95 min
1082,Happy Feet Two,-2011,5.9,100 min
1083,Smallfoot,-2018,6.6,96 min
1084,The Smurfs 2,-2013,5.3,105 min
1085,Astro Boy,-2009,6.3,94 min
1086,Open Water,-2003,5.8,79 min
1087,The Messenger: The Story of Joan of Arc,-1999,6.4,148 min
1088,G-Force,-2009,5.1,88 min
1089,13 Assassins,-2010,7.5,141 min
1090,Highlander II: The Quickening,-1991,4.2,91 min
1091,The Brave Little Toaster,-1987,7.3,90 min
1092,Away We Go,-2009,7,98 min
1093,Ninja Scroll,-1993,7.8,94 min
1094,Friday the 13th Part VIII: Jason Takes Manhattan,-1989,4.5,100 min
1095,Kangaroo Jack,-2003,4.5,89 min
1096,The Physician,-2013,7.2,155 min
1097,Asterix and Obelix vs. Caesar,-1999,5.9,109 min
1098,Sanctum,-2011,5.9,108 min
1099,Final Fantasy: The Spirits Within,-2001,6.4,106 min
1100,House of the Dead,-2003,2.1,90 min
1101,The Brothers Bloom,-2008,6.7,114 min
1102,I Spy,-2002,5.4,97 min
1103,The Shadow,-1994,6,108 min
1104,xXx: State of the Union,-2005,4.4,101 min
1105,The Secret of Kells,-2009,7.6,75 min
1106,The Gold Rush,-1925,8.2,95 min
1107,The General,-1926,8.2,67 min
1108,A Christmas Carol,-2009,6.8,96 min
1109,Toys,-1992,5.1,118 min
1110,102 Dalmatians,-2000,4.8,100 min
1111,Lupin III: The Castle of Cagliostro,-1979,7.6,102 min
1112,Nothing to Lose,-1997,6.7,98 min
1113,The Water Horse,-2007,6.5,112 min
1114,Dead End,(I) (2003),6.5,85 min
1115,Yellow Submarine,-1968,7.4,85 min
1116,Gallipoli,-1981,7.4,110 min
1117,The Santa Clause 3: The Escape Clause,-2006,4.8,92 min
1118,Snow Dogs,-2002,5.2,99 min
1119,The Wild,-2006,5.2,82 min
1120,Big Game,-2014,5.4,110 min
1121,An American Tail: Fievel Goes West,-1991,6.5,75 min
1122,Tracks,(I) (2013),7.1,112 min
1123,Everybody's Fine,-2009,7.1,99 min
1124,Missing Link,-2019,6.7,93 min
1125,Shanghai Knights,-2003,6.2,114 min
1126,Garfield: A Tail of Two Kitties,-2006,5,82 min
1127,Turbo Kid,-2015,6.7,93 min
1128,Pok?mon: The First Movie - Mewtwo Strikes Back,-1998,6.2,96 min
1129,Sightseers,-2012,6.5,88 min
1130,The Pink Panther 2,-2009,5.6,92 min
1131,Babylon A.D.,-2008,5.5,90 min
1132,Beavis and Butt-Head Do America,-1996,6.8,81 min
1133,"Tomorrow, When the War Began",-2010,6.1,104 min
1134,Black Knight,-2001,4.9,95 min
1135,The Hidden Fortress,-1958,8.1,126 min
1136,Stuart Little 2,-2002,5.5,77 min
1137,The Christmas Chronicles: Part Two,-2020,6,112 min
1138,Sin Nombre,-2009,7.5,96 min
1139,The Girl Who Leapt Through Time,-2006,7.7,98 min
1140,Cirque du Freak: The Vampire's Assistant,-2009,5.8,109 min
1141,Two Mules for Sister Sara,-1970,7,116 min
1142,The Tale of Despereaux,-2008,6.1,93 min
1143,Book of Shadows: Blair Witch 2,-2000,4,90 min
1144,Mr. Nice Guy,-1997,6.2,88 min
1145,The Three Burials of Melquiades Estrada,-2005,7.4,121 min
1146,Shaun the Sheep Movie,-2015,7.3,85 min
1147,The Christmas Chronicles,-2018,7,104 min
1148,Tokyo Godfathers,-2003,7.8,92 min
1149,The Good the Bad the Weird,-2008,7.2,130 min
1150,Black Sea,-2014,6.4,114 min
1151,The Ant Bully,-2006,5.8,88 min
1152,The Quest,-1996,5.5,95 min
1153,The Art of War,-2000,5.7,117 min
1154,Asterix at the Olympic Games,-2008,5.1,116 min
1155,Babe: Pig in the City,-1998,5.8,97 min
1156,A Very Harold & Kumar Christmas,-2011,6.3,90 min
1157,A Lonely Place to Die,-2011,6.2,99 min
1158,Summer Wars,-2009,7.4,114 min
1159,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,-2013,7.1,114 min
1160,The Boxtrolls,-2014,6.8,96 min
1161,G.O.R.A.,-2003,8.1,127 min
1162,Bajrangi Bhaijaan,-2015,8.1,163 min
1163,Transamerica,-2005,7.4,103 min
1164,Ned Kelly,-2003,6.4,110 min
1165,The Nut Job,(I) (2014),5.7,85 min
1166,Son of Rambow,-2007,7,96 min
1167,Sullivan's Travels,-1941,7.9,90 min
1168,Beyond Borders,-2003,6.4,127 min
1169,Tiger Zinda Hai,-2017,6,161 min
1170,Escape from Planet Earth,-2012,5.9,89 min
1171,Final Fantasy VII: Advent Children,-2005,7.2,101 min
1172,DuckTales the Movie: Treasure of the Lost Lamp,-1990,6.8,74 min
1173,Arthur Christmas,-2011,7.1,97 min
1174,The Last Days on Mars,-2013,5.5,98 min
1175,Rare Exports,-2010,6.6,84 min
1176,The Hunting Party,-2007,6.8,101 min
1177,Chennai Express,-2013,6.2,141 min
1178,Mutant Chronicles,-2008,5.2,111 min
1179,Dragon Ball Z: Battle of Gods,-2013,7.2,85 min
1180,Ek Tha Tiger,-2012,5.6,132 min
1181,Sholay,-1975,8.1,162 min
1182,Ra.One,-2011,4.9,156 min
1183,Queen,-2013,8.2,146 min
1184,Universal Soldier: Regeneration,-2009,5.3,97 min
1185,Goal II: Living the Dream,-2007,5.8,115 min
1186,The Warlords,-2007,7,126 min
1187,Yahsi Bati,-2009,7.4,112 min
1188,Recep Ivedik,-2008,4.7,90 min
